437 tiles simples ----------------------
0  0  15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 16 16 16 17 17 17 18 18 18 19 19 19 20 20 20 20 21 21 21 21 22 22 22 22 23 23 23 23 23 24 24 24 24 25 25 25 25 26 26 26 26 26 27 27 27 27 28 28 28 28 29 29 29 29 29 30 30 30 30 31 31 31 31 32 32 32 32 32 32 32 33 33 33 33 33 33 34 34 34 34 34 34 34 35 35 35 35 35 35 36 36 36 36 36 36 37 37 37 37 37 37 38 38 38 38 38 38 39 39 39 39 39 39 40 40 40 40 40 40 41 41 41 41 41 41 42 42 42 42 42 42 43 43 43 43 43 43 44 44 44 44 44 44 44 45 45 45 45 45 45 45 46 46 46 46 46 46 46 46 47 47 47 47 47 47 47 47 48 48 48 48 48 48 49 49 49 49 49 49 49 50 50 50 50 51 51 51 51 51 52 52 52 52 52 52 52 52 52 53 53 53 53 53 54 54 54 54 54 54 55 55 55 55 55 55 55 56 56 56 56 56 56 57 57 57 57 57 57 58 58 58 58 58 58 58 59 59 59 59 59 59 60 60 60 60 60 60 61 61 61 61 61 61 61 62 62 62 62 62 62 63 63 63 63 63 63 64 64 64 64 64 64 64 65 65 65 65 65 65 65 65 65 65 65 66 66 66 66 66 66 66 66 66 66 67 67 67 67 67 67 68 68 68 68 68 68 69 69 69 69 69 69 69 70 70 70 70 70 70 70 70 70 71 71 71 71 71 71 71 71 71 71 71 71 71 71 72 72 72 72 72 73 73 73 73 73 73 74 74 74 75 75 75 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 91 91
0  61 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 10 30 51 10 30 51 10 30 51 10 30 51 10 26 30 51 10 30 50 51 10 30 50 51 10 24 30 50 51 10 30 50 51 10 30 49 51 10 22 30 49 51 10 30 49 51 10 30 48 51 10 20 30 48 51 10 30 47 51 10 30 47 51 10 19 20 21 30 47 51 10 18 21 30 47 51 10 17 21 30 45 46 51 10 17 21 30 45 51 10 17 21 30 45 51 10 17 21 30 45 51 10 17 21 30 45 51 10 17 21 30 45 51 10 17 21 30 44 51 10 17 21 30 44 51 10 17 21 30 44 51 10 17 21 30 44 51 10 17 21 30 34 43 51 10 18 21 30 34 43 51 10 19 20 21 30 33 42 51 10 30 32 42 43 44 45 51 10 30 31 46 47 51 10 30 31 48 49 50 51 10 30 31 51 10 19 30 31 51 10 19 30 31 41 42 43 44 51 10 19 41 45 51 10 19 20 41 46 51 10 19 20 31 41 46 51 10 19 20 41 46 51 10 19 21 41 46 51 10 19 21 33 41 46 51 10 20 21 41 46 51 10 20 21 41 46 51 10 20 21 35 41 46 51 10 20 21 41 46 51 10 20 22 41 46 51 10 20 22 37 41 46 51 10 20 22 30 31 32 33 34 41 45 51 10 20 22 30 34 41 42 43 44 51 10 20 23 30 35 51 10 20 23 30 35 51 10 20 24 30 36 37 51 10 21 24 30 38 39 40 41 51 10 21 25 30 42 43 44 45 46 47 48 49 50 51 10 21 26 30 51 10 21 27 28 29 51 10 21 51 10 21 51 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 0  61
2 inimigos --------------------
39 59
27 38
goblin mago
9 tiles inimigos --------------
0  50 50 51 51 53 53 67 67
-7  10 11 32 33 21 22 32 33
2 portas ----------------------
16 74
48 18
099 005
113 16
48 20
0 pontos de salvamento --------
0 npcs
